UserID,Gender,Height,Weight,Bust/Chest,Waist,Hips,Body Shape Index
72,Male,173,83,43,33,38,2
73,Female,163,60,41,40,50,1
74,Male,185,86,41,43,48,0
75,Female,198,103,34,30,40,2
76,Male,150,67,52,26,29,2
77,Male,173,68,45,41,41,4
78,Male,173,55,32,36,43,2
79,Male,180,96,51,34,35,4
80,Male,193,84,49,42,50,4
81,Female,196,73,35,38,39,3
82,Male,170,80,32,27,37,4
83,Female,150,66,36,26,33,0
84,Female,155,71,37,40,50,0
85,Female,152,45,38,23,28,2
86,Male,170,65,35,39,46,3
87,Female,170,64,32,33,36,3
88,Female,168,72,28,36,42,1
89,Male,180,76,42,48,49,4
90,Female,178,83,35,22,22,3
91,Male,175,87,31,48,50,2
92,Female,178,78,36,24,33,4
93,Female,170,77,31,42,46,2
94,Female,185,67,28,25,28,1
95,Female,173,70,29,32,35,2
96,Female,198,104,40,34,44,0
97,Male,196,80,32,40,50,0
98,Female,188,100,36,39,40,4
99,Female,157,52,32,36,46,4
100,Female,173,84,31,35,37,2
101,Male,160,47,32,36,41,1
102,Female,183,77,36,27,35,3
103,Female,168,73,48,42,42,4
104,Male,193,73,40,31,31,1
105,Male,163,66,50,42,42,2
106,Male,152,65,50,37,45,0
107,Female,175,76,45,38,44,4
108,Female,198,118,39,36,39,2
109,Female,168,59,31,27,31,4
110,Male,185,65,31,38,46,3
111,Female,170,56,34,31,38,1
112,Female,185,79,37,37,40,3
113,Female,173,71,48,24,30,4
114,Female,160,74,35,39,48,0
115,Male,157,64,44,37,39,3
116,Female,170,54,42,35,36,4
117,Female,163,71,34,27,35,2
118,Female,196,72,43,32,42,2
119,Female,180,64,38,29,33,2
120,Male,168,78,48,29,31,2
121,Male,190,99,48,43,48,2
122,Male,193,86,43,44,45,4
123,Female,185,65,43,38,45,1
124,Male,190,90,36,26,30,3
125,Female,155,49,43,36,44,4
126,Female,160,59,47,30,34,4
127,Male,165,81,31,37,42,1
128,Male,157,63,43,28,31,3
129,Male,160,64,46,32,38,1
130,Male,165,51,35,32,32,0
131,Male,180,61,39,36,41,4
132,Male,170,70,51,31,37,3
133,Female,178,79,33,22,23,3
134,Female,180,93,36,37,43,1
135,Female,168,69,35,24,33,3
136,Female,160,76,28,30,32,1
137,Male,190,76,42,27,36,1
138,Female,185,103,37,32,38,3
139,Female,160,65,43,40,49,2
140,Female,178,95,28,22,30,3
141,Female,147,41,31,30,38,0
142,Male,157,58,32,39,43,2
143,Female,150,56,35,27,28,1
144,Male,157,66,35,35,37,4
145,Female,165,78,46,29,39,4
146,Female,147,41,36,33,37,3
147,Male,193,83,45,36,45,1
148,Female,175,89,37,22,31,4
149,Male,152,62,43,46,49,4
150,Male,152,43,41,26,26,2
151,Female,180,85,46,41,45,3
152,Female,178,59,39,30,37,1
153,Male,198,87,44,42,45,4
154,Male,168,82,33,26,30,1
155,Female,173,62,28,27,31,0
156,Female,190,106,48,39,43,1
157,Female,147,63,38,39,48,1
158,Female,188,69,33,32,41,1
159,Female,185,98,40,38,45,3
160,Female,183,92,31,34,38,2
161,Male,150,45,39,37,37,3
162,Female,165,51,40,36,45,3
163,Female,193,81,43,26,32,2
164,Female,180,79,46,23,33,2
165,Male,147,59,47,36,43,2
166,Male,170,68,34,38,45,3
167,Male,170,74,40,46,49,4
168,Female,150,48,38,38,47,2
169,Male,168,67,32,41,49,4
170,Female,168,69,44,39,44,0
171,Female,157,64,40,30,31,2
172,Female,170,63,38,23,32,1
173,Female,170,69,41,36,36,0
174,Male,178,78,52,38,46,0
175,Female,150,66,40,24,27,4
176,Female,168,73,47,36,38,4
177,Female,178,90,33,39,49,2
178,Male,155,46,33,39,44,3
179,Female,175,80,28,36,45,4
180,Male,155,66,38,33,41,0
181,Male,183,86,37,33,43,3
182,Male,168,63,46,47,47,3
183,Male,157,71,45,44,50,1
184,Female,160,54,34,23,25,0
185,Male,147,54,31,34,43,4
186,Female,178,72,44,23,29,0
187,Female,152,57,43,26,30,4
188,Male,180,74,46,34,39,2
189,Female,155,60,28,33,33,4
190,Female,178,94,37,36,43,3
191,Male,183,93,48,30,30,1
192,Female,185,75,33,31,39,3
193,Male,168,82,49,34,34,4
194,Female,168,73,28,39,46,1
195,Female,165,67,45,35,41,4
196,Male,152,65,47,35,39,2
197,Female,152,51,43,28,38,1
198,Male,188,96,49,41,49,4
199,Male,155,60,35,40,42,4
200,Female,152,56,33,28,38,4
201,Female,165,56,40,22,22,3
202,Male,160,48,46,41,48,4
203,Female,165,52,33,34,37,1
204,Male,198,79,50,26,26,0
205,Female,163,57,32,22,31,3
206,Male,183,98,50,34,38,2
207,Female,147,50,28,35,45,4
208,Female,152,54,44,40,48,3
209,Female,152,70,29,35,40,1
210,Female,196,82,45,23,26,2
211,Female,180,84,32,41,43,0
212,Female,160,59,33,31,36,4
213,Male,183,79,32,30,31,2
214,Male,168,55,37,44,48,4
215,Male,175,72,32,34,35,2
216,Male,152,62,47,38,40,2
217,Male,180,96,34,31,33,4
218,Male,170,60,43,42,43,2
219,Female,170,70,35,22,22,2
220,Male,190,67,50,41,50,2
221,Female,165,76,45,36,36,4
222,Male,165,58,35,38,43,4
223,Female,152,52,35,23,25,4
224,Female,152,46,42,37,37,4
225,Male,157,73,39,48,50,1
226,Female,157,60,30,25,28,3
227,Female,147,56,33,39,39,2
228,Female,155,56,44,27,37,3
229,Male,198,82,50,31,34,4
230,Male,196,101,42,41,48,1
231,Female,160,65,41,35,41,2
232,Female,198,73,33,36,37,2
233,Female,183,93,30,31,36,3
234,Male,147,58,41,28,29,4
235,Female,152,57,40,22,26,1
236,Male,155,67,33,31,32,3
237,Female,165,68,28,31,40,1
238,Female,193,111,42,36,40,3
239,Female,188,77,35,32,42,2
240,Male,168,55,35,27,31,0
241,Male,190,89,43,36,39,3
242,Male,173,55,42,27,27,1
243,Male,178,87,41,44,44,2
244,Female,157,71,42,39,49,1
245,Male,168,55,46,41,46,4
246,Male,147,57,45,34,37,2
247,Female,173,79,35,37,46,1
248,Female,155,69,40,27,32,2
249,Male,190,68,41,32,39,3
250,Female,150,61,29,33,43,2
251,Female,155,55,33,31,31,3
252,Female,188,78,37,37,42,0
253,Female,165,77,44,26,33,3
254,Male,165,66,30,30,39,1
255,Female,163,56,43,37,44,1
256,Male,178,60,42,35,44,4
257,Male,188,85,39,47,49,3
258,Female,152,55,34,26,27,4
259,Female,193,87,43,33,41,3
260,Female,175,85,29,38,45,0
261,Female,180,81,46,35,44,1
262,Male,165,60,32,27,34,3
263,Female,150,42,39,35,38,0
264,Female,198,94,35,27,34,0
265,Male,168,56,42,29,32,2
266,Male,175,86,40,36,44,4
267,Male,155,60,40,40,46,2
268,Female,160,66,45,22,22,0
269,Male,188,96,37,48,48,0
270,Female,193,71,31,33,33,1
271,Male,157,71,49,31,33,2
272,Female,183,78,45,37,47,4
273,Male,175,69,32,28,30,2
274,Female,157,56,44,25,28,1
275,Female,198,80,46,24,29,3
276,Female,165,74,40,28,38,3
277,Female,190,109,39,42,42,4
278,Male,157,68,31,32,41,4
279,Male,170,86,42,35,39,0
280,Female,163,72,39,32,39,3
281,Female,185,79,37,32,33,4
282,Female,170,79,30,29,34,2
283,Male,163,57,31,28,32,4
284,Female,180,64,32,33,42,0
285,Male,196,76,35,28,38,0
286,Female,163,70,45,28,37,1
287,Female,163,51,33,36,40,3
288,Female,165,71,45,26,34,1
289,Female,163,59,29,30,34,2
290,Male,150,54,48,28,32,4
291,Female,198,116,32,39,43,4
292,Male,155,70,52,30,39,1
293,Male,183,79,51,35,42,2
294,Female,190,76,35,27,36,1
295,Female,168,73,29,31,41,4
296,Female,168,53,37,28,29,4
297,Male,147,48,42,28,33,2
298,Male,175,86,46,44,46,0
299,Female,165,50,28,23,29,3
300,Female,160,47,42,32,38,2
301,Male,150,62,42,29,29,3
302,Female,165,64,38,40,41,1
303,Male,175,57,44,38,40,3
304,Female,152,59,30,39,40,0
305,Male,157,70,48,27,34,0
306,Male,160,66,45,47,47,0
307,Male,160,77,46,41,41,2
308,Female,155,68,43,28,30,3
309,Female,175,85,33,24,30,4
310,Female,157,66,40,35,39,0
311,Male,183,63,30,44,48,3
312,Male,147,46,38,41,41,0
313,Male,183,83,32,28,35,2
314,Male,163,64,33,32,38,2
315,Female,198,100,36,22,29,3
316,Female,193,99,31,41,48,3
317,Male,188,84,33,26,29,4
318,Male,150,48,30,42,47,3
319,Female,163,66,46,33,43,2
320,Male,157,62,50,26,35,0
321,Male,157,69,31,28,30,4
322,Female,160,62,41,30,37,1
323,Female,170,60,45,35,38,4
324,Male,175,66,37,40,43,1
325,Female,178,94,39,33,37,3
326,Male,173,68,35,43,46,0
327,Female,185,73,28,41,48,4
328,Female,173,67,31,25,35,2
329,Female,198,76,37,26,36,2
330,Female,160,56,33,36,46,1
331,Female,165,58,44,34,34,3
332,Male,155,65,45,43,49,4
333,Male,165,79,40,40,44,4
334,Female,188,82,33,40,50,0
335,Male,165,64,42,37,45,3
336,Female,193,78,42,41,47,4
337,Male,196,75,46,36,45,4
338,Male,183,65,34,33,39,4
339,Male,160,72,30,35,43,0
340,Female,150,65,38,37,40,0
341,Female,175,74,47,23,29,2
342,Male,170,71,47,28,29,1
343,Male,188,104,30,46,47,4
344,Male,165,79,52,36,44,2
345,Female,150,47,43,22,27,2
346,Female,150,45,39,29,39,0
347,Male,183,95,39,26,36,1
348,Female,185,73,36,41,42,4
349,Female,157,74,42,41,50,1
350,Male,175,82,37,27,35,0
351,Male,150,59,34,45,45,3
352,Female,175,77,38,36,44,1
353,Male,150,51,36,40,50,4
354,Female,152,43,33,36,40,0
355,Female,185,68,34,24,27,4
356,Female,147,59,29,38,47,3
357,Male,185,90,37,44,44,3
358,Female,193,80,42,41,47,0
359,Female,165,50,34,32,39,0
360,Female,190,98,41,32,40,2
361,Female,160,60,34,30,38,3
362,Male,160,47,41,39,44,4
363,Female,185,102,33,35,44,2
364,Female,152,46,33,37,47,2
365,Male,185,99,50,42,42,3
366,Female,175,66,43,39,46,4
367,Female,155,44,42,22,31,4
368,Male,188,73,43,37,44,2
369,Female,150,64,28,27,33,0
370,Male,183,92,50,47,48,3
371,Female,160,70,34,41,47,3
372,Male,180,93,40,39,49,2
373,Male,193,74,51,38,44,2
374,Female,175,66,38,23,31,1
375,Male,152,48,44,36,44,4
376,Male,198,116,48,41,48,4
377,Male,188,82,52,30,30,4
378,Male,188,83,50,46,46,4
379,Male,160,74,34,42,42,3
380,Female,170,85,46,41,47,2
381,Female,165,76,45,41,44,4
382,Female,175,83,32,31,37,4
383,Male,160,50,38,37,40,2
384,Male,170,73,51,46,50,0
385,Female,193,76,36,40,50,1
386,Male,178,85,37,37,44,4
387,Male,198,111,41,46,48,4
388,Female,152,47,42,35,37,1
389,Male,188,91,32,38,42,1
390,Male,185,103,46,32,42,1
391,Male,150,67,31,37,40,2
392,Female,183,77,33,31,33,1
393,Female,152,70,41,23,23,1
394,Female,147,45,28,26,31,2
395,Female,180,98,29,25,34,0
396,Male,160,63,34,43,50,2
397,Male,180,97,38,45,45,3
398,Female,180,60,42,28,34,3
399,Female,168,56,28,23,28,2
400,Male,163,61,42,35,40,0
401,Female,185,103,32,42,42,0
402,Female,157,63,28,33,35,0
403,Male,198,117,50,29,30,1
404,Female,150,65,40,31,39,1
405,Female,185,77,33,37,40,2
406,Male,180,78,52,46,46,3
407,Female,190,99,35,23,33,1
408,Female,165,50,28,33,37,1
409,Male,180,87,33,27,32,1
410,Male,168,78,46,29,39,0
411,Female,147,44,31,23,33,0
412,Male,185,65,47,42,45,3
413,Male,160,57,49,27,32,1
414,Female,198,101,40,34,39,2
415,Female,147,45,34,28,32,0
416,Female,165,78,40,36,41,1
417,Male,155,56,34,39,39,2
418,Male,163,79,46,48,49,2
419,Female,173,56,40,40,44,3
420,Female,163,52,33,24,32,2
421,Male,180,82,34,44,45,0
422,Female,168,57,42,38,47,2
423,Male,163,73,44,27,29,0
424,Female,193,77,44,38,46,4
425,Male,150,53,31,40,44,0
426,Female,198,116,32,34,42,3
427,Male,196,105,40,32,42,3
428,Female,160,52,41,28,33,0
429,Male,175,62,32,41,50,4
430,Female,155,65,40,34,44,4
431,Female,178,87,40,31,31,4
432,Female,155,67,31,40,49,1
433,Male,163,73,41,37,37,2
434,Male,170,61,46,26,27,1
435,Male,152,54,48,27,27,4
436,Female,178,64,28,24,25,4
437,Female,183,66,34,40,40,0
438,Male,175,72,47,32,41,3
439,Female,180,67,48,31,31,1
440,Female,168,78,29,31,41,4
441,Female,185,79,41,38,42,2
442,Male,180,71,40,30,39,1
443,Female,196,87,44,36,37,3
444,Female,157,51,42,31,35,4
445,Male,163,71,37,36,46,0
446,Male,193,112,38,26,28,1
447,Male,198,114,41,40,45,4
448,Female,157,52,31,37,41,0
449,Male,150,59,33,28,36,0
450,Female,198,89,41,28,35,1
451,Male,183,71,45,39,39,2
452,Female,170,68,47,38,39,2
453,Male,152,56,41,26,26,2
454,Male,198,101,35,29,34,4
455,Female,193,80,36,22,29,3
456,Male,160,64,36,32,34,1
457,Female,150,57,45,38,45,1
458,Male,173,76,30,44,49,4
459,Female,175,62,47,27,37,1
460,Female,165,65,33,23,23,0
461,Male,163,75,32,41,49,3
462,Male,196,95,43,36,41,1
463,Female,147,63,28,31,37,0
464,Female,147,49,34,37,45,2
465,Male,198,84,32,34,42,0
466,Female,168,71,41,39,44,4
467,Female,196,104,40,25,29,1
468,Female,170,74,48,22,25,2
469,Male,190,89,34,28,37,1
470,Male,178,78,33,40,42,4
471,Male,150,62,33,26,33,4
472,Male,155,68,42,36,46,3
473,Male,152,50,30,37,42,3
474,Female,175,82,40,32,38,2
475,Male,170,74,42,48,49,2
476,Female,190,104,36,29,31,1
477,Female,152,46,29,30,33,0
478,Male,185,71,46,34,34,4
479,Male,175,58,41,36,42,1
480,Female,152,59,28,31,33,4
481,Male,185,93,49,41,42,3
482,Male,163,52,37,30,31,4
483,Female,196,77,34,34,37,0
484,Male,175,89,46,33,42,4
485,Male,150,52,39,26,29,4
486,Male,160,60,33,38,47,0
487,Male,152,67,41,38,46,0
488,Male,175,67,50,39,46,4
489,Female,188,84,38,22,27,2
490,Female,196,108,48,33,43,4
491,Male,185,74,38,34,38,2
492,Female,180,81,45,39,46,4
493,Female,150,60,33,33,40,1
494,Female,193,72,37,32,42,3
495,Female,198,93,32,29,38,0
496,Male,198,99,48,32,36,1
497,Male,173,55,36,40,45,4
498,Male,183,66,51,46,46,1
499,Male,152,46,31,34,44,1
500,Female,180,86,31,35,40,4
501,Female,147,54,46,39,49,1
502,Female,173,86,28,29,38,2
503,Female,173,69,35,27,29,0
504,Male,152,65,43,33,34,0
505,Female,155,61,48,22,24,3
506,Male,190,77,52,44,45,1
507,Male,163,61,32,27,35,1
508,Female,193,93,46,35,42,0
509,Male,165,74,46,48,48,3
510,Female,147,42,38,23,33,3
511,Male,180,79,49,33,37,4
512,Female,183,83,31,40,41,4
513,Female,180,94,46,24,24,2
514,Male,152,53,30,37,45,4
515,Male,163,64,43,42,43,1
516,Male,150,47,35,33,42,2
517,Male,183,70,39,40,45,3
518,Male,173,63,50,43,48,3
519,Female,165,53,40,35,39,0
520,Female,155,72,36,23,24,0
521,Female,183,95,40,26,26,3
522,Female,150,52,33,34,37,0
523,Male,198,79,39,34,37,0
524,Female,170,63,46,31,34,2
525,Female,185,81,48,34,39,3
526,Male,160,72,30,28,35,1
527,Female,188,82,37,27,32,3
528,Male,193,97,45,41,47,4
529,Male,160,53,31,35,43,1
530,Female,175,75,43,28,33,0
531,Female,160,71,39,23,28,1
532,Female,173,78,43,41,42,4
533,Female,155,65,35,34,36,3
534,Female,157,58,47,29,35,4
535,Female,173,72,38,29,38,3
536,Male,183,97,41,38,47,0
537,Male,178,70,44,40,40,0
538,Male,183,68,31,36,43,0
539,Female,196,78,41,27,32,4
540,Male,150,44,34,38,47,4
541,Female,193,106,28,41,45,0
542,Male,196,115,37,41,46,3
543,Male,150,62,45,43,50,3
544,Male,168,69,51,48,49,1
545,Female,152,61,31,39,46,4
546,Female,190,99,42,38,44,1
547,Male,193,82,30,28,29,2
548,Male,198,99,38,47,49,3
549,Female,193,95,31,31,40,2
550,Male,183,89,32,32,36,4
551,Female,160,49,43,38,47,0
552,Male,190,106,38,48,49,1
553,Female,188,67,35,22,26,3
554,Male,188,100,30,27,27,4
555,Female,196,72,41,40,46,1
556,Male,185,68,49,27,30,0
557,Female,183,89,36,39,45,0
558,Female,198,101,28,40,47,0
559,Female,198,97,32,39,41,1
560,Female,165,56,31,34,36,3
561,Female,196,88,37,39,40,1
562,Female,155,66,46,31,39,4
563,Female,190,102,28,34,41,1
564,Female,173,75,33,34,41,2
565,Female,152,50,40,31,33,2
566,Female,188,95,35,22,28,1
567,Male,175,88,36,26,26,1
568,Male,175,58,33,41,47,4
569,Male,165,53,43,35,40,1
570,Female,193,107,29,32,38,4
571,Female,155,71,30,39,49,1
572,Male,190,81,44,43,50,3
573,Male,150,59,46,39,42,3
574,Male,152,62,33,29,35,2
575,Male,155,71,39,42,46,1
576,Female,198,112,44,27,30,2
577,Female,188,82,30,33,42,4
578,Female,150,50,32,31,39,1
579,Female,183,74,39,38,45,0
580,Male,178,81,37,30,34,1
581,Male,198,98,47,33,34,0
582,Male,193,71,30,32,37,0
583,Female,196,111,41,27,27,1
584,Male,198,99,34,26,28,4
585,Female,155,62,32,33,34,4
586,Female,180,71,30,27,37,4
587,Female,198,92,40,28,36,3
588,Male,170,81,40,32,33,3
589,Female,175,89,40,39,39,0
590,Male,152,51,42,42,50,4
591,Female,170,72,44,32,40,2
592,Male,188,101,38,34,38,0
593,Male,152,60,43,46,47,1
594,Female,173,65,46,37,45,0
595,Female,183,69,29,30,36,2
596,Female,198,108,42,39,40,3
597,Female,147,61,39,31,38,3
598,Female,160,69,43,42,48,2
599,Male,178,75,47,43,47,0
600,Male,175,60,40,38,44,1
601,Female,163,75,38,38,45,0
602,Female,193,104,34,40,40,0
603,Female,185,69,42,35,41,1
604,Female,188,78,33,22,22,3
605,Female,163,63,41,26,30,2
606,Male,152,53,36,43,43,0
607,Female,185,83,36,34,36,2
608,Female,157,47,40,36,36,1
609,Male,185,76,41,45,45,2
610,Female,152,52,28,24,30,1
611,Male,185,102,48,33,40,4
612,Male,178,95,30,44,49,4
613,Male,157,59,46,35,36,1
614,Male,165,79,38,29,32,2
615,Male,170,73,43,39,45,4
616,Male,150,50,37,33,43,1
617,Female,163,64,47,32,42,1
618,Female,168,65,39,33,35,0
619,Male,152,60,41,39,42,2
620,Male,180,79,37,30,33,1
621,Female,168,66,41,34,44,0
622,Female,196,115,42,40,46,1
623,Female,175,74,34,33,40,4
624,Male,173,73,34,38,47,3
625,Male,188,103,40,43,48,0
626,Male,155,69,50,28,37,4
627,Male,190,70,38,29,38,4
628,Male,196,79,38,34,37,3
629,Female,170,77,38,31,39,4
630,Male,175,62,46,36,44,4
631,Female,193,92,35,33,43,1
632,Male,196,99,30,35,45,2
633,Male,175,60,36,45,45,3
634,Female,152,47,36,33,43,3
635,Male,163,65,49,37,38,2
636,Male,147,52,37,28,37,4
637,Female,168,55,34,29,39,4
638,Male,163,61,36,43,47,4
639,Female,170,70,33,37,44,1
640,Male,180,83,30,33,39,3
641,Female,170,69,30,42,42,2
642,Female,185,101,32,27,27,3
643,Male,188,100,37,34,44,4
644,Female,155,57,44,23,31,2
645,Female,178,86,43,25,27,1
646,Male,198,106,46,31,37,1
647,Male,180,93,52,46,47,2
648,Female,178,85,41,35,42,0
649,Female,185,86,36,28,38,0
650,Female,183,91,45,33,39,0
651,Male,150,42,43,26,31,0
652,Male,152,67,46,43,43,1
653,Male,183,74,42,34,37,4
654,Male,163,74,46,45,48,1
655,Female,180,72,47,28,35,1
656,Male,157,57,42,30,30,0
657,Female,175,76,40,36,40,2
658,Male,168,76,31,44,48,1
659,Male,165,80,39,30,31,0
660,Male,175,85,50,28,35,0
661,Female,178,60,31,23,24,2
662,Male,150,57,39,31,32,3
663,Male,193,81,35,33,38,1
664,Male,163,70,43,41,44,3
665,Male,165,72,46,33,42,0
666,Male,147,58,41,45,46,1
667,Female,170,69,33,24,26,2
668,Female,157,57,40,29,33,4
669,Male,152,51,36,39,45,0
670,Female,198,92,30,38,42,2
671,Male,163,50,33,30,39,1
672,Female,157,46,39,26,28,2
673,Female,193,69,37,28,28,3
674,Female,175,71,47,41,45,0
675,Male,180,80,35,27,32,1
676,Male,163,54,39,35,42,3
677,Female,157,48,30,29,30,0
678,Male,175,90,51,45,45,4
679,Female,183,80,36,27,30,4
680,Male,198,102,47,31,31,0
681,Male,147,54,33,26,33,3
682,Male,173,72,39,27,37,4
683,Female,183,62,37,29,34,1
684,Female,193,80,44,30,37,4
685,Female,170,80,29,34,43,3
686,Female,147,45,28,28,33,1
687,Female,170,75,28,29,39,2
688,Female,157,57,36,25,33,2
689,Male,152,68,32,48,50,2
690,Male,196,113,35,46,48,2
691,Male,170,56,33,31,34,2
692,Male,178,59,35,40,40,0
693,Female,180,60,36,26,34,4
694,Male,157,67,50,35,43,0
695,Female,150,61,32,27,31,1
696,Male,178,59,44,38,46,0
697,Female,193,112,33,22,22,3
698,Female,193,72,29,37,40,3
699,Male,185,84,35,31,34,2
700,Female,150,62,41,25,33,4
701,Female,152,65,42,28,38,1
702,Male,173,78,39,42,43,4
703,Male,170,80,49,37,38,0
704,Female,152,67,28,34,37,4
705,Female,160,69,39,38,42,0
706,Male,170,64,50,44,45,3
707,Male,196,98,50,34,39,4
708,Male,193,97,30,28,33,2
709,Male,180,64,49,40,47,4
710,Male,170,68,31,45,49,1
711,Female,152,58,36,26,34,0
712,Male,150,50,45,40,47,3
713,Male,173,87,30,40,47,3
714,Male,160,75,46,32,39,3
715,Male,185,89,35,40,43,3
716,Female,185,83,33,38,38,0
717,Female,173,86,47,38,46,3
718,Female,163,67,41,40,48,1
719,Male,178,88,33,43,49,2
720,Female,163,65,35,40,50,0
721,Male,150,59,36,39,43,3
722,Female,190,72,44,32,42,2
723,Male,155,57,32,29,35,4
724,Female,193,96,30,27,33,0
725,Female,178,72,46,23,23,3
726,Female,183,69,32,37,37,0
727,Female,188,94,39,41,43,4
728,Male,175,58,33,32,33,0
729,Male,193,93,30,30,40,1
730,Female,175,86,42,28,30,3
731,Female,163,79,35,42,46,3
732,Female,155,46,34,37,47,0
733,Male,147,58,32,45,45,1
734,Male,155,50,36,34,34,0
735,Female,178,80,45,27,35,2
736,Male,193,93,49,28,28,1
737,Female,188,74,40,27,28,1
738,Male,185,79,32,32,32,1
739,Female,168,58,34,32,42,0
740,Female,185,80,35,30,33,0
741,Female,173,58,33,38,41,2
742,Male,190,71,31,43,43,1
743,Male,196,88,52,26,35,1
744,Male,147,46,32,28,38,1
745,Female,193,77,33,24,29,2
746,Male,150,45,38,31,40,3
747,Male,185,65,46,41,41,4
748,Female,193,105,38,30,33,4
749,Female,196,72,35,35,42,0
750,Female,188,72,44,28,30,4
751,Female,185,76,46,38,42,3
752,Male,165,63,33,30,37,1
753,Female,190,85,37,41,46,0
754,Female,175,77,42,42,50,3
755,Male,155,44,38,32,35,1
756,Male,147,57,33,41,47,3
757,Male,157,55,44,43,50,3
758,Male,193,69,39,32,40,2
759,Female,163,56,30,36,46,2
760,Male,160,55,30,39,45,4
761,Male,147,53,32,39,42,4
762,Male,198,88,49,41,48,0
763,Female,183,62,38,39,45,2
764,Male,168,84,42,35,39,2
765,Male,198,77,40,41,50,1
766,Female,150,45,33,25,29,4
767,Female,193,102,41,32,36,0
768,Female,150,62,46,35,39,1
769,Male,152,66,35,35,35,4
770,Female,168,62,35,34,35,2
771,Male,150,58,31,34,36,1
772,Female,198,73,31,30,31,0
773,Male,196,79,32,34,36,3
774,Female,185,72,29,37,45,0
775,Male,170,80,46,47,50,1
776,Male,196,80,41,46,49,2
777,Female,178,73,29,37,43,1
778,Female,178,93,34,36,42,3
779,Male,178,78,51,29,35,4
780,Female,170,79,38,25,25,3
781,Female,152,50,29,23,24,2
782,Male,147,59,35,37,47,0
783,Female,168,64,30,35,35,4
784,Female,198,91,38,27,32,1
785,Male,168,57,33,29,30,3
786,Male,147,52,46,26,26,3
787,Female,150,42,33,27,37,0
788,Female,163,66,48,24,29,2
789,Female,173,65,47,36,41,3
790,Female,185,74,48,22,27,4
791,Male,163,63,47,37,46,0
792,Male,170,86,50,48,50,0
793,Female,180,87,30,34,44,1
794,Female,190,84,31,25,30,2
795,Female,193,86,32,41,47,4
796,Male,150,49,42,41,50,2
797,Female,165,64,35,37,44,3
798,Female,178,71,43,29,36,3
799,Female,180,84,30,39,39,4
800,Female,196,85,44,26,28,1
801,Female,160,75,33,33,34,0
802,Male,163,76,31,48,50,1
803,Female,147,49,41,26,28,0
804,Male,155,51,32,31,39,0
805,Female,152,60,44,39,45,1
806,Male,198,102,51,41,47,2
807,Female,175,84,34,33,34,3
808,Female,163,66,37,38,38,1
809,Male,168,79,44,33,38,3
810,Female,178,71,29,26,26,3
811,Female,178,95,43,41,41,3
812,Female,168,60,30,22,32,1
813,Male,175,57,41,29,30,2
814,Female,185,103,29,42,48,1
815,Male,175,87,52,40,45,0
816,Female,183,76,43,28,35,3
817,Male,160,51,30,29,34,3
818,Male,198,100,37,38,38,4
