ProductID,Category,Brand,Available_sizes,Height_S,Weight_S,Chest/Bust_S,Body_Shape_S,Height_M,Weight_M,Chest/Bust_M,Body_Shape_M,Height_L,Weight_L,Chest/Bust_L,Body_Shape_L,Height_XL,Weight_XL,Chest/Bust_XL,Body_Shape_XL
16,Jackets,Gap,"['M', 'L', 'XL', 'S']",154.8,48.7,85.6,4,161.0,58.9,96.8,0,177.5,68.1,103.4,0,186.1,75.4,119.3,4
17,Shirts,Uniqlo,"['L', 'M']",159.0,48.8,86.6,4,164.5,64.9,97.9,3,178.7,69.6,100.2,2,186.2,80.0,113.8,3
18,Sweaters,H&M,"['XL', 'S', 'M', 'L']",159.1,53.4,85.9,0,167.3,59.3,99.6,4,178.8,70.0,102.7,2,187.9,75.6,110.2,0
19,Hoodies,Zara,"['M', 'L', 'XL', 'S']",150.9,51.5,87.4,2,161.7,58.1,91.6,4,177.8,70.4,108.6,4,189.5,78.9,110.3,0
20,Shirts,Aurelia,"['M', 'XL', 'L']",159.4,51.1,85.7,0,162.9,58.7,93.9,2,174.1,68.0,100.4,4,183.8,84.0,118.9,0
21,Jackets,Global Desi,"['L', 'S', 'M']",158.3,48.3,80.7,2,168.6,59.0,98.4,1,179.8,71.7,104.4,2,185.8,77.4,117.2,2
22,T-Shirts,FabIndia,"['S', 'M', 'XL']",157.9,53.2,81.2,1,168.9,63.2,98.1,1,173.8,71.5,101.2,4,180.9,82.1,111.1,0
23,Ethnic Wear,Aurelia,"['L', 'S', 'XL']",152.0,45.4,86.0,1,160.4,55.8,96.2,0,176.4,70.8,104.2,1,183.6,78.0,110.5,3
24,Hoodies,Forever 21,"['XL', 'M', 'L']",158.1,53.7,82.7,0,161.7,58.2,92.7,1,171.6,66.1,108.4,0,184.1,75.4,118.0,0
25,Tops,Zara,"['L', 'XL', 'M']",158.5,50.1,80.8,2,161.2,64.7,92.8,2,179.8,69.8,106.2,3,188.4,80.6,118.1,0
26,T-Shirts,Biba,"['S', 'XL', 'M', 'L']",152.9,49.0,84.3,2,161.8,56.5,91.2,4,177.0,68.6,107.4,4,185.1,83.3,111.2,3
27,Ethnic Wear,Mango,"['XL', 'M', 'L']",159.5,50.0,85.5,2,169.7,62.4,99.2,0,177.5,69.9,103.5,4,187.3,79.1,113.0,1
28,Dresses,Brooks Brothers,"['XL', 'M', 'S', 'L']",150.5,51.7,83.3,1,165.5,58.6,91.7,4,170.7,74.2,109.4,1,180.2,81.2,117.8,0
29,Suits,Zara,"['M', 'L']",151.5,45.1,87.2,0,164.7,60.8,95.7,2,177.6,69.8,107.1,3,184.6,84.0,115.3,3
30,Kurtas,H&M,"['L', 'M']",155.4,53.7,86.4,3,169.8,56.0,95.8,0,177.7,65.1,104.2,1,189.0,82.9,119.6,4
31,Tops,Biba,"['XL', 'M']",155.8,49.5,83.3,2,165.6,58.1,93.7,3,176.7,69.4,104.3,3,182.2,76.9,114.8,3
32,Dresses,H&M,"['S', 'XL', 'L', 'M']",156.5,48.4,87.5,2,166.6,60.0,93.5,1,172.9,73.2,109.2,0,180.3,82.3,116.8,2
33,Jackets,Gap,"['XL', 'L', 'M', 'S']",150.2,46.4,86.5,3,163.3,57.3,96.7,2,174.9,72.8,105.8,4,184.3,80.0,115.1,4
34,Dresses,ASOS,"['L', 'S', 'M']",159.6,49.4,86.4,0,163.8,60.4,93.9,0,171.1,70.1,107.1,0,187.0,82.5,119.4,1
35,Suits,ASOS,"['S', 'M', 'XL']",150.4,50.0,85.5,2,165.9,57.2,92.6,4,174.7,67.5,104.2,3,184.5,79.9,114.0,1
36,Jackets,Zara,"['XL', 'L', 'S', 'M']",151.4,49.0,80.1,0,160.7,61.5,94.0,0,172.4,69.7,102.2,4,184.6,76.3,112.3,3
37,Tops,Ralph Lauren,"['M', 'L', 'XL']",150.1,51.8,87.0,2,162.6,64.0,98.1,3,173.5,70.6,107.2,1,186.7,80.7,113.3,3
38,Suits,Adidas,"['S', 'L', 'XL', 'M']",155.7,49.2,83.8,4,162.0,55.9,99.7,2,171.6,75.0,106.1,2,182.5,79.9,118.5,0
39,Shirts,FabIndia,"['S', 'XL']",159.3,54.6,89.4,2,160.2,57.2,96.4,0,172.3,71.4,105.0,1,187.5,80.2,115.0,0
40,Kurtas,North Face,"['S', 'L', 'M']",156.7,51.0,88.2,4,165.4,63.4,97.8,2,170.8,71.9,106.2,2,181.5,83.8,113.5,2
41,Tops,Zara,"['M', 'XL', 'L']",158.2,53.1,85.9,0,165.6,61.3,95.3,2,179.2,69.9,102.1,1,184.0,83.9,115.4,0
42,Shirts,Zara,"['S', 'M', 'XL']",150.1,46.1,82.5,2,163.8,55.8,96.2,4,175.3,68.5,107.9,3,186.6,79.5,111.3,3
43,Ethnic Wear,Zara,"['L', 'S', 'XL', 'M']",155.4,49.0,82.0,1,162.7,59.9,99.9,1,174.0,73.1,109.5,0,188.3,79.6,110.1,3
44,Tops,Biba,"['XL', 'L', 'S', 'M']",154.6,48.4,83.4,1,166.5,57.1,94.4,3,175.4,69.9,108.9,2,187.9,80.2,112.8,0
45,Ethnic Wear,H&M,"['M', 'XL']",155.0,50.7,84.8,3,161.3,57.0,90.7,0,176.3,74.9,103.2,3,187.2,80.2,116.1,2
46,Jackets,Adidas,"['XL', 'L']",150.7,53.6,83.0,1,165.2,64.4,99.6,1,179.2,69.6,104.1,0,183.6,84.5,117.1,3
47,Shirts,H&M,"['M', 'XL']",156.8,45.8,85.1,4,167.7,62.6,97.9,4,171.8,65.7,108.1,0,181.2,81.5,118.3,2
48,Kurtas,Armani,"['L', 'XL']",155.0,45.7,81.7,1,161.6,62.0,94.0,1,173.0,71.8,106.0,4,182.2,77.8,119.3,3
49,Suits,Zara,"['S', 'M']",157.7,53.5,89.8,1,167.5,57.4,99.8,2,179.8,65.5,105.5,4,188.6,80.3,114.1,2
50,Sweaters,Biba,"['S', 'L', 'XL']",154.9,47.1,81.1,1,167.6,56.2,93.5,2,173.7,67.5,109.3,4,188.6,81.3,117.4,2
51,Dresses,H&M,"['S', 'L', 'M']",151.5,51.7,89.3,2,160.6,63.7,93.7,3,170.2,68.5,105.4,2,189.5,81.4,110.7,2
52,T-Shirts,Levi's,"['S', 'L', 'M']",156.5,50.4,89.1,3,160.2,55.1,96.1,0,171.5,72.4,105.1,2,180.8,80.9,110.6,0
53,Kurtas,Adidas,"['S', 'M']",151.7,53.3,85.3,0,169.7,58.9,92.7,0,170.3,69.9,100.4,0,185.4,76.8,111.2,1
54,Shirts,Mango,"['M', 'XL', 'S']",158.7,46.3,87.2,3,161.9,57.8,97.0,4,179.9,65.3,100.7,2,186.5,75.3,114.5,2
55,Sweaters,Zara,"['S', 'L', 'M', 'XL']",156.1,46.3,84.4,4,168.2,60.7,91.5,3,172.8,71.2,100.1,0,187.1,78.4,112.1,2
56,Kurtas,Hugo Boss,"['S', 'XL', 'M', 'L']",151.6,50.6,86.3,2,165.6,57.5,91.1,0,179.2,69.1,109.1,3,186.4,79.3,112.9,3
57,Shirts,Nike,"['L', 'S', 'M']",159.6,54.5,83.4,2,162.6,58.1,95.3,2,180.0,74.2,104.1,1,187.7,75.6,116.5,1
58,Hoodies,Aurelia,"['M', 'L', 'XL', 'S']",155.2,49.1,83.0,1,161.3,63.5,95.6,3,176.0,70.0,104.7,0,183.6,83.1,113.6,3
59,Hoodies,Armani,"['XL', 'M']",150.7,48.3,85.8,1,165.0,61.0,91.1,1,170.3,72.1,108.5,0,181.8,78.4,115.6,3
60,Ethnic Wear,Brooks Brothers,"['S', 'L']",156.3,51.1,85.0,4,164.1,56.5,99.6,3,170.8,67.2,106.1,3,182.0,84.1,114.1,2
61,Kurtas,Champion,"['XL', 'L', 'S']",152.5,54.3,85.8,2,167.0,62.3,95.7,3,174.8,72.6,106.1,4,180.1,76.5,111.7,4
62,Hoodies,Tommy Hilfiger,"['L', 'M', 'S']",158.0,53.4,82.9,0,169.0,57.1,91.5,0,174.1,72.2,103.0,4,183.5,75.6,110.7,1
63,Shirts,Levi's,"['L', 'M']",158.2,55.0,83.7,3,168.1,59.3,93.1,4,176.1,74.0,108.3,4,180.9,79.8,112.4,3
64,Ethnic Wear,Nike,"['M', 'S']",159.8,45.2,80.8,2,162.7,61.5,98.0,4,174.4,65.3,101.7,0,183.2,76.9,110.6,4
65,Shirts,Zara,"['M', 'S']",155.0,46.1,80.5,0,168.8,57.7,95.2,0,179.3,69.5,100.5,0,186.3,84.4,116.2,4
66,Ethnic Wear,ASOS,"['L', 'S', 'XL', 'M']",154.5,51.1,82.5,0,168.3,58.8,91.9,0,175.3,71.8,101.9,2,188.9,75.1,118.0,3
67,Kurtas,FabIndia,"['M', 'XL', 'L', 'S']",157.5,53.2,80.7,3,169.3,62.3,91.0,0,176.9,66.0,102.7,2,188.4,79.1,113.4,2
68,Sweaters,Uniqlo,"['M', 'S', 'L']",151.3,47.9,81.0,0,164.6,64.4,94.3,4,179.0,69.1,102.8,1,182.5,84.3,113.9,0
69,Suits,Brooks Brothers,"['S', 'XL']",155.5,47.4,88.1,4,167.7,60.3,93.4,0,171.5,74.4,106.7,1,181.3,78.8,118.2,3
70,Tops,Aurelia,"['M', 'XL']",155.5,52.9,80.4,0,165.9,55.1,96.6,1,172.3,69.4,102.2,2,181.9,75.9,112.2,2
71,Sweaters,Uniqlo,"['XL', 'S', 'L', 'M']",150.9,45.6,86.6,4,163.1,58.4,99.3,1,171.1,74.9,106.8,0,189.7,78.0,111.2,1
72,Jackets,Zara,"['M', 'XL']",154.2,48.7,82.7,0,169.9,59.0,92.5,2,171.4,65.6,100.9,3,185.5,80.0,115.0,2
73,Shirts,Nike,"['M', 'XL']",158.5,50.1,88.7,1,160.4,58.4,98.6,1,175.1,72.2,101.5,2,181.8,76.9,116.5,4
74,Jackets,H&M,"['L', 'XL', 'M', 'S']",158.6,50.6,84.8,0,161.6,59.4,99.2,3,173.2,70.8,105.1,0,188.4,79.7,116.0,1
75,Sweaters,Mango,"['M', 'S']",151.0,52.3,83.1,4,168.9,61.3,99.0,2,174.2,70.0,109.2,2,184.0,83.4,117.1,1
76,Ethnic Wear,Uniqlo,"['XL', 'L']",150.9,48.5,85.2,0,160.6,56.2,99.5,1,179.8,74.7,108.6,4,189.0,83.7,110.6,0
77,Tops,Adidas,"['S', 'M', 'L']",152.6,51.1,83.8,0,168.9,57.7,98.4,3,171.6,66.3,109.7,2,182.6,75.5,114.3,0
78,Tops,Zara,"['S', 'M']",158.7,50.9,85.6,0,167.2,60.1,95.9,1,175.4,74.0,106.5,4,183.9,76.6,112.4,3
79,T-Shirts,Mango,"['L', 'S', 'M']",151.3,50.5,81.1,4,160.4,58.2,94.1,3,171.0,71.9,106.8,0,185.0,77.8,117.6,2
80,Tops,Zara,"['M', 'S']",157.2,51.4,90.0,0,164.3,64.9,94.9,0,173.2,67.6,106.3,4,188.9,80.9,118.7,3
81,Suits,H&M,"['XL', 'L']",151.0,47.6,84.3,3,167.5,59.3,98.7,3,175.3,74.0,106.2,2,188.7,78.6,112.8,0
82,Tops,Forever 21,"['XL', 'L', 'S', 'M']",156.2,45.8,83.5,3,165.8,63.7,93.0,0,179.5,69.3,101.5,4,185.7,83.4,111.0,4
83,Sweaters,Levi's,"['S', 'XL', 'M']",153.6,46.2,87.1,4,169.4,64.0,91.6,3,173.9,73.1,105.4,3,182.2,82.2,112.5,0
84,T-Shirts,Zara,"['M', 'L', 'XL']",157.9,47.2,83.6,1,168.7,63.4,91.4,3,170.6,68.9,103.9,4,184.0,76.0,111.0,2
85,Sweaters,Brooks Brothers,"['L', 'XL']",152.3,50.0,88.3,3,163.3,55.5,98.3,1,173.9,73.5,104.4,4,189.8,81.2,113.2,4
86,Sweaters,Levi's,"['L', 'S', 'M', 'XL']",156.4,53.4,84.5,2,160.8,64.5,97.6,3,171.5,71.4,105.2,1,186.1,76.1,115.4,3
87,Dresses,Armani,"['L', 'M', 'S']",152.4,52.0,87.2,3,169.4,56.3,95.0,1,172.3,66.4,101.3,3,187.8,77.6,119.7,3
88,T-Shirts,Zara,"['L', 'XL', 'S']",157.1,52.9,81.1,2,165.2,55.3,92.7,3,176.2,71.5,103.6,0,184.5,76.8,114.0,0
89,Sweaters,Uniqlo,"['M', 'S']",158.7,48.5,88.5,4,160.7,59.1,96.8,4,170.7,66.9,100.6,4,185.3,76.7,112.2,0
90,Dresses,Forever 21,"['L', 'M']",151.3,49.0,87.4,1,168.2,56.9,90.4,2,174.6,69.1,109.8,3,184.3,81.2,111.7,3
91,Dresses,H&M,"['L', 'XL', 'S']",158.7,48.9,82.1,2,168.7,56.8,95.7,1,176.1,66.7,101.2,0,187.0,80.6,111.7,3
92,T-Shirts,Forever 21,"['XL', 'L', 'M', 'S']",155.9,46.9,81.5,2,166.4,57.9,94.0,1,174.2,65.2,102.6,3,188.5,76.8,111.9,1
93,Jackets,Adidas,"['XL', 'L']",151.3,45.6,83.2,3,164.5,57.5,99.8,0,170.2,67.1,108.9,1,185.1,84.9,117.6,2
94,Ethnic Wear,Armani,"['L', 'XL', 'S']",154.3,50.9,89.8,2,166.6,61.8,95.1,4,179.9,70.4,104.8,0,184.8,79.2,110.6,1
95,Suits,Global Desi,"['XL', 'S', 'L']",151.6,54.9,82.6,4,167.1,56.9,95.5,0,173.7,69.8,101.4,0,183.4,76.0,120.0,1
96,Ethnic Wear,ASOS,"['XL', 'S', 'M', 'L']",157.0,46.7,84.6,4,168.9,60.4,97.1,4,177.8,70.0,103.8,4,181.8,76.2,115.2,3
97,Tops,Zara,"['M', 'L', 'S']",157.6,45.5,80.3,4,169.6,64.9,94.8,4,173.3,67.5,101.2,2,189.4,80.8,115.4,2
98,Suits,Adidas,"['S', 'L']",151.1,52.8,84.0,3,165.1,59.3,92.2,3,174.8,71.9,102.0,0,183.2,84.8,113.6,3
99,Tops,Brooks Brothers,"['L', 'XL', 'S']",155.1,47.5,85.7,1,168.0,61.4,95.4,0,173.9,72.0,100.5,0,188.0,80.7,116.9,1
100,Sweaters,Mango,"['M', 'S', 'L', 'XL']",158.1,53.3,89.5,3,169.6,64.7,99.4,2,173.4,68.6,104.4,1,187.2,84.5,114.7,1
101,Shirts,Biba,"['S', 'M', 'L']",159.4,52.0,85.2,4,161.5,56.4,94.1,4,170.2,73.8,108.1,1,187.9,79.4,113.3,3
102,T-Shirts,North Face,"['XL', 'S']",155.1,54.5,88.2,3,160.2,59.2,96.8,4,173.6,71.4,105.9,1,189.4,79.4,112.7,0
103,Suits,Adidas,"['L', 'XL', 'M']",159.5,49.1,85.5,4,168.7,63.5,99.8,1,178.9,72.1,106.1,4,186.2,80.0,119.3,0
104,Suits,Mango,"['M', 'XL', 'S']",155.4,51.6,80.4,0,162.0,64.3,98.3,3,176.9,67.8,102.0,0,189.0,82.0,112.9,3
105,Sweaters,Hugo Boss,"['XL', 'S']",153.9,49.6,83.2,0,160.4,61.0,96.6,2,171.5,65.0,103.4,1,181.7,78.7,114.4,4
106,Jackets,Uniqlo,"['XL', 'S']",158.5,51.3,85.8,2,161.6,56.4,97.4,4,175.9,73.7,108.5,1,186.3,83.6,113.5,4
107,Dresses,Forever 21,"['M', 'S']",154.9,49.5,89.5,1,163.8,64.0,99.4,1,178.9,73.2,100.9,3,187.7,75.3,110.9,0
108,Sweaters,Uniqlo,"['S', 'M']",154.7,46.9,88.6,0,162.2,56.7,99.6,0,177.0,66.2,108.6,3,182.7,79.4,111.9,2
109,Hoodies,Zara,"['XL', 'M']",154.9,50.1,82.3,4,163.1,58.5,99.7,4,171.5,68.7,104.8,1,187.4,80.1,111.9,1
110,Dresses,H&M,"['S', 'XL']",158.5,50.3,82.2,3,169.8,58.8,96.3,1,178.7,71.6,108.4,4,187.8,81.1,116.9,2
111,T-Shirts,Biba,"['M', 'L', 'XL', 'S']",158.3,53.1,82.0,3,167.0,59.5,93.8,0,173.0,71.5,103.2,2,188.3,77.8,114.1,0
112,Dresses,Uniqlo,"['XL', 'L', 'S']",154.0,52.4,89.2,2,167.1,62.9,91.3,3,174.5,73.6,103.4,3,183.1,79.3,117.8,3
113,Jackets,Mango,"['S', 'L', 'M', 'XL']",153.3,51.6,88.5,3,160.9,63.0,93.9,0,175.3,66.4,107.5,3,186.8,79.8,117.1,4
114,Dresses,Mango,"['M', 'L', 'S']",154.9,46.1,87.7,0,167.3,62.2,99.4,4,178.5,69.3,107.8,0,183.0,81.9,111.9,0
115,T-Shirts,Biba,"['L', 'S']",155.7,52.2,83.9,3,167.4,55.2,98.9,2,179.3,66.0,102.3,0,187.4,82.7,115.6,2
116,Jackets,Zara,"['L', 'S', 'M', 'XL']",152.4,50.0,85.0,0,166.6,60.6,95.2,0,179.3,68.9,109.7,1,184.6,82.4,117.4,2
117,Ethnic Wear,Brooks Brothers,"['S', 'XL']",157.9,53.9,84.6,0,162.3,62.5,95.4,2,170.1,65.2,100.8,0,186.0,78.4,116.3,0
118,Suits,Adidas,"['L', 'XL', 'S', 'M']",154.9,54.2,82.5,1,164.2,59.4,93.1,2,179.2,74.0,100.7,0,184.2,85.0,116.0,1
119,Suits,Aurelia,"['XL', 'S']",153.3,45.6,85.1,2,168.5,64.4,94.5,0,170.5,70.3,106.0,2,181.6,83.5,117.4,2
120,Tops,H&M,"['M', 'XL', 'S', 'L']",151.1,53.2,80.3,4,166.7,63.2,97.1,3,172.7,73.5,107.2,4,181.8,77.6,110.6,1
121,Ethnic Wear,Zara,"['M', 'S', 'XL', 'L']",152.4,45.4,81.3,0,167.3,61.4,94.0,0,175.1,65.6,109.6,1,180.8,77.0,117.3,1
122,Ethnic Wear,Nike,"['XL', 'M']",159.5,48.7,88.9,2,165.9,55.6,91.9,1,174.8,67.3,104.0,2,186.2,78.1,112.7,3
123,Dresses,Zara,"['S', 'L', 'M']",153.1,50.4,87.5,4,164.5,61.5,95.4,2,176.0,67.6,100.3,1,188.5,79.5,115.7,0
124,Suits,Mango,"['M', 'S']",151.7,46.5,84.2,3,167.6,64.1,92.3,4,174.8,68.9,106.0,4,180.2,83.5,112.4,0
125,T-Shirts,Armani,"['L', 'S', 'XL']",154.6,52.5,85.2,2,160.7,58.8,99.7,2,179.3,73.0,102.9,1,180.7,82.8,118.4,1
126,Kurtas,Mango,"['M', 'L', 'XL']",153.1,45.1,83.7,2,166.7,63.4,93.9,4,172.4,68.9,104.3,0,184.6,83.5,114.8,3
127,Kurtas,FabIndia,"['XL', 'L', 'M']",150.4,46.7,87.4,2,170.0,58.1,99.1,1,172.7,67.0,104.9,4,187.4,77.7,116.4,2
128,Jackets,H&M,"['S', 'XL', 'L', 'M']",153.2,50.8,87.8,3,167.8,60.7,92.3,1,179.2,65.6,100.6,2,181.6,80.9,117.9,2
129,Suits,Mango,"['L', 'XL']",155.4,52.1,87.6,3,162.9,61.5,91.9,1,170.8,65.8,104.9,2,182.7,77.8,119.0,0
130,Suits,Adidas,"['S', 'L']",155.5,54.2,87.2,2,162.8,61.8,96.2,0,176.1,72.6,104.3,3,182.3,76.1,117.3,1
131,Kurtas,Mango,"['S', 'L', 'XL']",153.6,52.1,82.0,1,166.7,63.8,97.8,2,176.8,69.4,107.1,2,184.0,81.8,111.5,3
132,Suits,Mango,"['XL', 'L', 'S']",154.5,51.7,83.4,0,169.0,57.3,95.7,4,175.1,72.3,106.5,3,182.2,76.4,118.5,3
133,Dresses,North Face,"['S', 'XL', 'M']",159.7,48.9,84.7,3,165.8,57.6,92.3,1,176.9,71.8,101.9,0,183.5,81.7,116.2,2
134,Hoodies,Forever 21,"['M', 'L']",153.8,45.0,83.3,1,165.3,62.0,90.4,1,171.7,66.4,102.1,2,187.3,81.5,116.1,2
135,Shirts,Mango,"['M', 'XL']",152.6,46.2,87.5,3,161.6,56.8,96.2,4,178.5,66.4,102.5,4,186.1,83.1,119.2,4
136,Ethnic Wear,North Face,"['S', 'M', 'XL']",152.4,50.3,83.3,2,167.2,59.6,91.3,2,171.4,72.6,101.8,3,180.8,76.4,112.5,4
137,Tops,Gap,"['XL', 'M', 'L']",154.6,51.8,81.4,1,167.0,55.2,93.4,2,174.0,72.2,106.6,2,186.4,82.8,112.4,1
138,Jackets,Zara,"['L', 'S', 'XL', 'M']",157.6,49.2,84.0,4,169.7,56.4,96.8,4,170.8,68.8,109.9,0,184.8,85.0,115.1,4
139,Hoodies,Adidas,"['L', 'M', 'XL', 'S']",152.1,52.3,89.8,0,163.0,61.8,91.0,3,175.5,65.8,106.5,4,189.3,83.5,117.5,3
140,Kurtas,Gap,"['S', 'M', 'XL', 'L']",157.1,50.2,82.3,0,167.6,62.5,91.3,2,176.7,65.1,106.1,4,182.9,82.5,114.5,4
141,Ethnic Wear,Zara,"['S', 'L', 'XL']",150.2,45.7,86.1,3,164.3,56.2,90.6,4,179.4,67.9,104.1,0,187.3,81.6,116.3,0
142,Suits,ASOS,"['M', 'XL', 'L', 'S']",154.2,46.9,84.3,0,165.6,57.3,100.0,4,177.4,65.1,103.1,2,187.3,79.2,114.5,0
143,Tops,Biba,"['M', 'XL', 'L']",157.8,53.4,80.7,4,168.2,56.0,93.9,1,175.4,67.3,109.1,1,182.2,82.3,116.1,2
144,Suits,Levi's,"['S', 'L']",153.4,52.2,84.9,1,162.2,59.3,99.1,4,179.3,69.2,109.7,2,189.0,82.2,118.2,2
145,T-Shirts,Brooks Brothers,"['L', 'M', 'S', 'XL']",155.6,53.9,87.0,1,163.4,56.3,92.9,0,174.8,66.2,105.0,3,184.9,81.3,111.8,1
146,T-Shirts,ASOS,"['S', 'M', 'L']",152.0,46.2,85.1,2,167.7,59.4,97.5,1,175.6,66.0,102.9,3,186.8,83.0,117.0,0
147,Tops,Brooks Brothers,"['M', 'S']",157.4,54.9,88.7,1,165.7,62.3,92.2,1,176.0,74.0,107.7,2,181.5,79.5,117.9,1
148,Tops,ASOS,"['S', 'L', 'M', 'XL']",150.5,47.1,82.9,3,160.9,61.8,95.0,2,174.1,70.9,101.3,3,182.6,76.2,114.5,1
149,Kurtas,Zara,"['XL', 'L']",158.5,45.1,80.9,4,164.3,57.8,98.2,3,178.4,74.3,107.7,1,185.9,80.6,113.2,4
150,Tops,H&M,"['L', 'M', 'S']",152.0,55.0,89.4,2,165.9,61.7,98.2,2,171.9,68.5,108.2,1,183.2,77.7,110.1,2
151,Dresses,Aurelia,"['M', 'S', 'XL']",158.7,47.8,83.8,3,169.1,64.3,97.9,0,175.5,71.8,101.2,4,185.0,78.8,118.0,1
152,Suits,Mango,"['L', 'S', 'M']",153.5,51.7,85.8,3,161.9,58.5,98.2,1,177.2,67.0,109.8,3,183.7,75.2,113.3,1
153,Hoodies,Mango,"['XL', 'L', 'S', 'M']",157.2,46.8,87.9,3,168.1,58.3,92.1,1,179.0,71.2,109.9,2,186.4,78.8,113.6,2
154,Sweaters,Mango,"['XL', 'M']",153.2,50.8,83.2,0,161.3,60.7,94.8,4,178.8,66.3,109.4,4,184.9,83.1,113.4,2
155,Tops,Armani,"['XL', 'L']",159.1,54.0,87.2,3,162.4,57.5,94.8,3,175.1,65.0,105.0,1,180.0,80.4,115.0,0
156,Jackets,Forever 21,"['XL', 'S']",151.3,48.2,81.4,0,162.4,61.5,98.9,3,176.4,74.3,102.5,4,186.5,75.1,117.0,2
157,T-Shirts,Biba,"['XL', 'M', 'S']",151.8,51.7,82.9,1,168.8,63.3,93.0,4,173.9,70.5,105.8,0,184.2,79.7,117.7,4
158,Dresses,Armani,"['M', 'XL']",154.9,46.9,81.4,0,162.0,59.6,99.3,0,174.7,74.3,104.2,3,183.4,77.9,113.9,0
159,Ethnic Wear,Nike,"['L', 'M', 'S', 'XL']",150.8,51.2,88.1,3,167.9,61.8,94.5,3,179.1,68.3,102.1,2,180.9,79.8,116.6,1
160,Sweaters,Ralph Lauren,"['M', 'XL', 'S', 'L']",152.0,48.4,82.2,4,164.6,61.5,96.7,1,179.3,68.3,104.2,1,182.2,79.0,117.2,4
161,Hoodies,Brooks Brothers,"['L', 'S', 'XL', 'M']",159.4,47.1,87.2,4,170.0,55.4,92.7,0,179.0,69.0,106.6,4,182.2,84.3,113.0,4
162,Sweaters,Zara,"['L', 'M', 'XL']",159.8,48.1,89.4,1,168.4,56.8,94.1,2,171.4,72.1,100.7,2,189.4,75.4,111.0,0
163,Tops,Gap,"['S', 'XL']",153.8,46.8,85.3,3,167.4,63.9,97.1,2,178.5,70.7,103.3,3,184.3,81.8,118.9,1
164,Kurtas,Levi's,"['L', 'XL']",159.2,54.0,85.4,0,168.7,64.4,95.1,0,179.5,74.3,100.2,2,180.4,83.5,116.8,0
165,T-Shirts,H&M,"['XL', 'M', 'L']",155.4,49.0,84.6,4,166.3,62.8,99.3,1,173.6,65.3,107.5,3,181.4,84.6,116.5,3
166,T-Shirts,Biba,"['M', 'XL', 'S', 'L']",152.7,47.5,83.3,2,168.4,64.2,97.4,2,175.2,72.1,106.4,3,180.8,76.8,110.6,3
